date,CO_max,NO_max,NO2_max,NOX_max,O3_max,PM10_max,PM2.5_max,PMCO_max,SO2_max,RH_max,TMP_max,WDR_max,WSP_max,activacion_doble_no_circula
01/01/2016,2.5,76.0,63.0,120.0,133.0,511.0,232.0,107.0,117.0,100.0,25.0,360.0,6.3,0
01/01/2017,2.8,109.0,65.0,163.0,95.0,445.0,195.0,227.0,15.0,93.0,24.7,360.0,6.3,0
01/01/2018,2.7,54.0,52.0,89.0,91.0,249.0,166.0,65.0,115.0,94.0,20.5,359.0,6.7,0
01/01/2019,3.6,122.0,59.0,155.0,128.0,653.0,393.0,88.0,81.0,95.0,25.2,359.0,8.5,1
01/01/2020,2.9,119.0,48.0,147.0,59.0,426.0,117.0,99.0,15.0,93.0,25.4,360.0,9.6,0
01/01/2021,3.0,89.0,53.0,119.0,81.0,404.0,116.0,50.0,15.0,85.0,25.4,360.0,9.1,0
01/01/2022,3.24,117.0,81.0,183.0,133.0,503.0,205.0,51.0,28.0,100.0,27.2,360.0,6.2,0
01/01/2023,2.96,118.0,60.0,145.0,88.0,370.0,269.0,64.0,9.0,100.0,25.2,359.0,6.6,1
01/01/2024,3.74,147.0,78.0,195.0,131.0,582.0,312.0,99.0,19.0,100.0,25.0,360.0,14.9,1
01/02/2016,4.1,247.0,79.0,308.0,109.0,266.0,70.0,144.0,10.0,88.0,26.7,360.0,10.3,0
01/02/2017,4.0,304.0,102.0,369.0,99.0,219.0,92.0,137.0,92.0,94.0,24.1,360.0,7.5,0
01/02/2018,4.7,508.0,99.0,554.0,79.0,257.0,103.0,160.0,49.0,92.0,25.0,360.0,6.4,0
01/02/2019,5.2,456.0,82.0,509.0,88.0,327.0,85.0,242.0,15.0,86.0,25.4,360.0,5.7,0
01/02/2020,1.7,127.0,55.0,161.0,71.0,123.0,77.0,83.0,142.0,88.0,22.2,360.0,7.8,0
01/02/2021,0.8,20.0,35.0,48.0,76.0,97.0,35.0,37.0,48.0,89.0,23.0,360.0,6.4,0
01/02/2022,3.6,249.0,63.0,293.0,80.0,151.0,54.0,68.0,8.0,93.0,26.5,360.0,6.7,0
01/02/2023,2.75,158.0,69.0,191.0,130.0,149.0,72.0,78.0,64.0,98.0,26.4,360.0,7.0,0
01/02/2024,3.8,279.0,73.0,330.0,69.0,178.0,60.0,67.0,87.0,96.0,20.0,360.0,13.2,0
01/03/2016,3.6,194.0,83.0,239.0,84.0,155.0,72.0,97.0,15.0,100.0,22.4,360.0,5.0,0
01/03/2017,3.4,307.0,119.0,349.0,112.0,292.0,92.0,268.0,92.0,87.0,28.9,360.0,9.3,0
01/03/2018,3.2,238.0,81.0,292.0,101.0,262.0,104.0,164.0,46.0,95.0,27.9,359.0,8.4,0
01/03/2019,3.4,315.0,86.0,367.0,120.0,204.0,94.0,141.0,31.0,88.0,29.6,360.0,6.4,0
01/03/2020,1.9,120.0,69.0,161.0,112.0,130.0,57.0,73.0,10.0,91.0,29.4,360.0,7.1,0
01/03/2021,2.4,201.0,78.0,243.0,136.0,388.0,73.0,296.0,46.0,83.0,31.9,360.0,7.1,0
01/03/2022,2.69,232.0,71.0,262.0,101.0,343.0,72.0,80.0,110.0,98.0,27.8,360.0,7.2,0
01/03/2023,3.82,237.0,92.0,283.0,130.0,249.0,66.0,69.0,9.0,83.0,28.6,359.0,6.7,0
01/03/2024,3.51,313.0,80.0,376.0,143.0,205.0,98.0,108.0,19.0,91.0,29.4,360.0,19.2,0
01/04/2016,3.2,285.0,60.0,327.0,83.0,283.0,56.0,143.0,13.0,80.0,29.7,334.0,7.2,0
01/04/2017,2.4,256.0,63.0,313.0,69.0,181.0,209.0,160.0,24.0,79.0,29.8,358.0,9.1,0
01/04/2018,1.5,132.0,67.0,183.0,95.0,162.0,60.0,74.0,18.0,69.0,28.0,360.0,7.3,0
01/04/2019,2.5,167.0,55.0,221.0,118.0,189.0,72.0,67.0,103.0,92.0,28.6,360.0,8.3,0
01/04/2020,1.2,80.0,45.0,116.0,122.0,216.0,58.0,64.0,18.0,91.0,30.5,360.0,6.2,0
01/04/2021,0.4,18.0,34.0,52.0,52.0,266.0,39.0,101.0,5.0,82.0,25.1,360.0,10.4,0
01/04/2022,2.67,185.0,84.0,224.0,118.0,174.0,109.0,115.0,150.0,81.0,32.4,359.0,9.5,0
01/04/2023,2.04,191.0,82.0,238.0,121.0,183.0,78.0,87.0,40.0,99.0,31.5,359.0,7.4,0
01/04/2024,2.36,219.0,75.0,264.0,87.0,176.0,71.0,96.0,6.0,80.0,30.9,360.0,19.9,0
01/05/2016,5.5,467.0,90.0,537.0,146.0,184.0,72.0,113.0,15.0,77.0,30.9,359.0,6.3,0
01/05/2017,2.1,122.0,68.0,157.0,125.0,334.0,80.0,253.0,43.0,76.0,31.6,358.0,11.0,0
01/05/2018,1.2,111.0,51.0,148.0,105.0,157.0,47.0,136.0,7.0,100.0,27.0,358.0,8.3,0
01/05/2019,1.6,160.0,67.0,200.0,116.0,148.0,61.0,64.0,29.0,96.0,31.6,360.0,6.7,0
01/05/2020,1.3,72.0,41.0,101.0,119.0,190.0,50.0,67.0,8.0,94.0,25.9,360.0,10.7,0
01/05/2021,1.5,112.0,58.0,138.0,104.0,175.0,82.0,143.0,6.0,99.0,30.3,359.0,8.6,0
01/05/2022,0.96,59.0,47.0,101.0,125.0,104.0,46.0,35.0,33.0,100.0,29.8,359.0,6.5,0
01/05/2023,1.33,75.0,52.0,117.0,89.0,160.0,64.0,57.0,31.0,81.0,30.2,359.0,8.7,0
01/05/2024,1.3,147.0,56.0,199.0,138.0,147.0,133.0,61.0,10.0,75.0,30.9,358.0,19.2,1
01/06/2016,2.9,145.0,75.0,182.0,126.0,141.0,78.0,61.0,35.0,98.0,25.4,360.0,6.0,1
01/06/2017,1.1,50.0,41.0,81.0,76.0,111.0,40.0,51.0,48.0,99.0,26.4,360.0,6.8,0
01/06/2018,2.0,164.0,67.0,199.0,116.0,162.0,73.0,125.0,87.0,90.0,30.9,360.0,9.6,0
01/06/2019,0.9,49.0,33.0,72.0,77.0,149.0,31.0,58.0,8.0,91.0,27.8,360.0,7.2,0
01/06/2020,1.0,71.0,34.0,90.0,105.0,125.0,53.0,42.0,7.0,95.0,26.9,360.0,7.0,0
01/06/2021,1.5,134.0,38.0,163.0,122.0,271.0,117.0,61.0,71.0,100.0,31.0,360.0,8.4,0
01/06/2022,2.0,148.0,47.0,173.0,84.0,134.0,40.0,78.0,13.0,100.0,27.3,360.0,9.6,0
01/06/2023,1.53,64.0,52.0,109.0,151.0,150.0,58.0,47.0,7.0,100.0,31.8,359.0,6.1,0
01/06/2024,1.55,140.0,64.0,189.0,105.0,139.0,93.0,63.0,7.0,82.0,35.3,360.0,19.7,0
01/07/2016,1.9,72.0,63.0,101.0,116.0,99.0,57.0,61.0,49.0,100.0,26.5,360.0,7.1,0
01/07/2017,1.9,71.0,40.0,98.0,83.0,99.0,67.0,45.0,52.0,100.0,24.6,360.0,8.2,0
01/07/2018,1.3,98.0,36.0,129.0,115.0,103.0,52.0,59.0,38.0,98.0,27.2,360.0,9.3,0
01/07/2019,1.1,31.0,56.0,72.0,81.0,63.0,42.0,19.0,52.0,94.0,26.2,360.0,5.0,0
01/07/2020,1.1,107.0,38.0,141.0,96.0,242.0,57.0,53.0,8.0,92.0,29.0,359.0,7.9,0
01/07/2021,1.3,60.0,42.0,87.0,60.0,55.0,39.0,26.0,6.0,100.0,24.6,360.0,5.3,0
01/07/2022,1.71,146.0,59.0,174.0,138.0,145.0,58.0,63.0,57.0,100.0,29.9,360.0,6.0,0
01/07/2023,1.69,70.0,52.0,112.0,84.0,82.0,56.0,37.0,5.0,100.0,28.7,360.0,6.0,0
01/07/2024,1.95,65.0,40.0,97.0,40.0,45.0,26.0,13.0,11.0,100.0,22.5,357.0,12.5,0
01/08/2016,1.6,109.0,55.0,141.0,117.0,128.0,56.0,99.0,57.0,96.0,25.8,360.0,8.3,0
01/08/2017,1.5,97.0,47.0,123.0,121.0,171.0,50.0,150.0,52.0,95.0,27.0,360.0,9.7,0
01/08/2018,1.3,158.0,48.0,181.0,72.0,139.0,32.0,29.0,5.0,95.0,26.2,360.0,11.7,0
01/08/2019,1.6,125.0,50.0,156.0,109.0,150.0,52.0,50.0,55.0,95.0,27.4,360.0,9.4,0
01/08/2020,1.1,120.0,44.0,137.0,96.0,64.0,44.0,20.0,20.0,97.0,24.9,360.0,6.7,0
01/08/2021,1.3,77.0,49.0,91.0,101.0,152.0,59.0,26.0,35.0,100.0,28.2,360.0,7.0,0
01/08/2022,1.14,99.0,41.0,122.0,85.0,79.0,33.0,39.0,9.0,100.0,25.3,360.0,7.2,0
01/08/2023,1.92,60.0,50.0,102.0,100.0,105.0,36.0,31.0,9.0,100.0,27.9,360.0,7.8,0
01/08/2024,1.28,116.0,48.0,130.0,88.0,89.0,39.0,48.0,5.0,100.0,26.5,359.0,12.0,0
01/09/2016,2.6,146.0,48.0,170.0,80.0,131.0,46.0,82.0,27.0,98.0,25.8,360.0,7.0,0
01/09/2017,1.7,81.0,45.0,112.0,101.0,78.0,56.0,38.0,62.0,100.0,23.5,360.0,6.5,0
01/09/2018,1.5,125.0,51.0,159.0,113.0,77.0,46.0,38.0,9.0,100.0,26.2,360.0,6.9,0
01/09/2019,1.1,61.0,38.0,99.0,113.0,126.0,38.0,58.0,24.0,86.0,27.0,360.0,8.5,0
01/09/2020,1.4,153.0,48.0,169.0,119.0,130.0,49.0,78.0,16.0,95.0,27.2,360.0,5.1,0
01/09/2021,1.8,118.0,56.0,146.0,71.0,77.0,43.0,25.0,5.0,100.0,26.1,359.0,3.8,0
01/09/2022,1.15,77.0,43.0,105.0,83.0,58.0,36.0,33.0,27.0,100.0,26.0,360.0,7.2,0
01/09/2023,2.04,107.0,63.0,149.0,136.0,140.0,68.0,36.0,25.0,100.0,28.5,360.0,5.9,0
01/09/2024,0.86,41.0,39.0,76.0,111.0,52.0,40.0,13.0,4.0,100.0,27.2,359.0,9.1,0
01/10/2016,1.4,93.0,38.0,115.0,112.0,114.0,49.0,53.0,22.0,99.0,25.1,360.0,6.8,0
01/10/2017,1.9,64.0,32.0,96.0,58.0,69.0,21.0,25.0,5.0,100.0,25.0,360.0,6.7,0
01/10/2018,1.4,111.0,32.0,132.0,67.0,96.0,30.0,35.0,44.0,91.0,25.0,360.0,7.1,0
01/10/2019,2.2,145.0,40.0,168.0,88.0,63.0,37.0,33.0,4.0,97.0,26.4,360.0,10.2,0
01/10/2020,1.3,155.0,60.0,196.0,84.0,157.0,55.0,55.0,126.0,94.0,25.6,360.0,7.9,0
01/10/2021,2.3,113.0,60.0,139.0,90.0,75.0,36.0,38.0,4.0,100.0,25.4,360.0,6.2,0
01/10/2022,1.56,130.0,67.0,149.0,141.0,124.0,75.0,41.0,63.0,100.0,26.3,360.0,8.9,0
01/10/2023,0.99,53.0,33.0,76.0,103.0,86.0,44.0,45.0,24.0,100.0,30.0,360.0,5.7,0
01/10/2024,1.35,93.0,31.0,124.0,46.0,65.0,46.0,23.0,29.0,100.0,21.5,360.0,13.1,0
01/11/2016,3.4,308.0,77.0,334.0,121.0,167.0,104.0,117.0,54.0,99.0,26.7,360.0,7.4,0
01/11/2017,2.3,187.0,73.0,239.0,125.0,136.0,78.0,59.0,22.0,99.0,27.2,359.0,5.1,0
01/11/2018,2.5,241.0,67.0,276.0,94.0,170.0,67.0,107.0,8.0,95.0,23.5,359.0,4.7,0
01/11/2019,1.3,66.0,46.0,93.0,84.0,86.0,65.0,52.0,158.0,93.0,25.6,360.0,6.4,0
01/11/2020,1.1,75.0,36.0,93.0,59.0,334.0,37.0,172.0,50.0,93.0,27.6,360.0,11.3,0
01/11/2021,1.4,153.0,56.0,179.0,102.0,124.0,54.0,72.0,71.0,100.0,26.9,360.0,6.5,0
01/11/2022,1.83,152.0,66.0,195.0,109.0,117.0,96.0,45.0,24.0,97.0,26.5,360.0,5.9,0
01/11/2023,1.09,44.0,52.0,73.0,101.0,107.0,64.0,69.0,72.0,100.0,23.8,360.0,5.7,0
01/11/2024,1.34,69.0,42.0,91.0,92.0,115.0,75.0,47.0,24.0,100.0,24.9,360.0,11.8,0
01/12/2016,3.6,281.0,83.0,325.0,96.0,196.0,67.0,144.0,12.0,98.0,28.0,360.0,6.3,0
01/12/2017,2.6,243.0,99.0,298.0,82.0,168.0,134.0,81.0,89.0,96.0,22.5,360.0,5.3,0
01/12/2018,2.7,279.0,60.0,297.0,101.0,146.0,42.0,92.0,8.0,97.0,27.9,360.0,7.5,0
01/12/2019,2.5,227.0,82.0,284.0,69.0,207.0,65.0,113.0,26.0,94.0,26.7,360.0,8.5,0
01/12/2020,2.0,164.0,76.0,203.0,78.0,125.0,46.0,78.0,91.0,93.0,23.9,360.0,6.6,0
01/12/2021,2.6,215.0,74.0,249.0,76.0,248.0,123.0,117.0,10.0,100.0,28.1,360.0,6.2,0
01/12/2022,2.09,124.0,48.0,144.0,80.0,113.0,45.0,62.0,27.0,100.0,23.9,360.0,6.2,0
01/12/2023,2.96,269.0,60.0,301.0,55.0,103.0,44.0,68.0,5.0,100.0,24.2,360.0,5.7,0
01/12/2024,2.55,185.0,66.0,218.0,89.0,130.0,52.0,57.0,31.0,94.0,26.0,360.0,11.4,0
02/01/2016,1.7,55.0,53.0,92.0,84.0,128.0,60.0,43.0,47.0,100.0,25.1,360.0,5.4,0
02/01/2017,3.2,260.0,102.0,304.0,105.0,193.0,105.0,102.0,66.0,94.0,26.1,360.0,5.3,0
02/01/2018,2.5,176.0,91.0,206.0,84.0,245.0,81.0,99.0,66.0,96.0,22.8,360.0,5.9,0
02/01/2019,2.2,202.0,75.0,242.0,84.0,205.0,119.0,97.0,113.0,100.0,23.0,358.0,5.6,1
02/01/2020,1.1,117.0,28.0,145.0,34.0,291.0,20.0,91.0,4.0,83.0,22.8,360.0,11.2,0
02/01/2021,2.5,114.0,65.0,157.0,103.0,136.0,121.0,59.0,34.0,83.0,26.3,359.0,7.2,0
02/01/2022,2.55,190.0,65.0,236.0,72.0,661.0,71.0,520.0,21.0,100.0,28.7,360.0,8.2,0
02/01/2023,2.74,263.0,38.0,297.0,43.0,110.0,36.0,68.0,6.0,100.0,23.0,360.0,8.4,0
02/01/2024,2.11,179.0,91.0,224.0,73.0,155.0,50.0,56.0,14.0,99.0,23.0,360.0,13.7,0
02/02/2016,5.9,399.0,69.0,453.0,88.0,262.0,37.0,107.0,12.0,85.0,27.1,352.0,7.3,0
02/02/2017,3.2,222.0,71.0,260.0,105.0,175.0,73.0,110.0,122.0,94.0,23.4,360.0,7.6,0
02/02/2018,4.0,315.0,74.0,354.0,92.0,226.0,73.0,153.0,65.0,92.0,25.7,360.0,7.4,0
02/02/2019,2.9,239.0,73.0,272.0,135.0,215.0,89.0,147.0,64.0,91.0,26.0,360.0,6.3,0
02/02/2020,2.0,67.0,71.0,101.0,78.0,149.0,121.0,52.0,165.0,91.0,22.6,360.0,6.8,0
02/02/2021,1.6,134.0,67.0,150.0,76.0,135.0,78.0,61.0,45.0,94.0,25.6,360.0,7.8,0
02/02/2022,2.8,258.0,64.0,286.0,100.0,207.0,62.0,77.0,9.0,100.0,25.2,360.0,10.5,0
02/02/2023,3.58,322.0,93.0,373.0,120.0,277.0,59.0,108.0,11.0,100.0,26.5,360.0,6.7,0
02/02/2024,5.04,307.0,95.0,353.0,91.0,285.0,66.0,235.0,13.0,100.0,25.0,359.0,15.4,0
02/03/2016,3.3,190.0,56.0,234.0,42.0,108.0,62.0,39.0,73.0,100.0,15.7,360.0,3.7,0
02/03/2017,1.8,129.0,51.0,158.0,113.0,171.0,56.0,108.0,54.0,93.0,26.4,360.0,8.0,0
02/03/2018,1.5,96.0,47.0,128.0,130.0,208.0,87.0,124.0,121.0,97.0,27.1,360.0,7.2,0
02/03/2019,2.5,207.0,77.0,245.0,127.0,196.0,73.0,119.0,10.0,89.0,30.3,360.0,5.2,0
02/03/2020,3.5,294.0,74.0,339.0,85.0,125.0,71.0,84.0,6.0,93.0,27.9,360.0,8.2,0
02/03/2021,1.1,93.0,50.0,128.0,137.0,157.0,69.0,69.0,46.0,92.0,29.1,359.0,6.1,0
02/03/2022,2.36,238.0,71.0,286.0,134.0,213.0,59.0,86.0,41.0,92.0,29.8,360.0,5.9,0
02/03/2023,4.08,288.0,90.0,325.0,106.0,268.0,69.0,91.0,9.0,94.0,30.8,360.0,8.6,0
02/03/2024,2.46,223.0,64.0,273.0,136.0,195.0,53.0,66.0,35.0,96.0,30.9,360.0,18.6,0
02/04/2016,2.6,217.0,65.0,247.0,86.0,166.0,71.0,93.0,105.0,83.0,30.9,360.0,7.2,0
02/04/2017,1.5,98.0,49.0,135.0,66.0,126.0,65.0,52.0,8.0,75.0,28.8,356.0,8.3,0
02/04/2018,3.1,255.0,72.0,303.0,124.0,204.0,60.0,143.0,26.0,81.0,28.1,360.0,7.1,0
